Image ID,split,model,Category,Ground Truth,Prediction,gt_norm,pred_norm
U5_3@E2835710@BGA@DS015152-R000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U5_3@E2835710@BGA@DS015152-R000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R754_1@B0410600@R@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R754_1@B0410600@R@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_1@B6211410@IC@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_1@B6211410@IC@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_1@B6211410@IC@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_1@B6211410@IC@DS00215A-R106-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U41_1@B280E040@QFN@DS012334-Z204-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U41_1@B280E040@QFN@DS012334-Z204-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J13_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J13_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J14_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J14_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J14_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J14_1@B6210691@BGA@DS006251-R100-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J3_2@B6217300@IC@DS011595-R000-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J3_2@B6217300@IC@DS011595-R000-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C416_2@B1110160@C@DS011595-R000-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_1@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_1@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_2@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_3@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_3@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U3_3@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_4@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_1@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_1@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U3_3@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U35_1@B284600E@IC@DS007166-Z301-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U35_1@B284600E@IC@DS007166-Z301-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U35_1@B284600E@IC@DS007166-Z301-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U35_1@B284600E@IC@DS007166-Z301-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_1@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_2@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_3@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_3@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U3_3@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1_4@N2800210@QFN@DS015240-Z000-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C10_1@B120015P@C@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC1_1@B131015T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC1_1@B131015T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC1_1@B131015T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC2_1@B131015T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC2_1@B131015T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC2_1@B131015T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC3_1@B131015T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC3_1@B131015T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC3_1@B131015T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC4_1@B131001T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC4_1@B131001T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
EC4_1@B131001T@CAE@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R2_1@B089003Y@R@DS006531-R101-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q111_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q115_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q115_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q115_1@B2590270@SOT23@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U2_1@B284092D@IC@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U2_1@B284092D@IC@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U2_1@B284092D@IC@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U2_1@B284092D@IC@DS006593-Z201-T,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R209_1@B089098Y@R@DS005865-Z110-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J2_1@B6210753@IC@DS005865-Z110-B,03,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J3_1@B6211140@IC@DS007151-R001-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
R409_1@B0410682@R@DS003031-R006-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U23_1@B2814390@QFN@DS012350-R100-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
U17_1@B280H710@IC@DS006594-Z202-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
U17_1@B280H710@IC@DS006594-Z202-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
PU12_1@B2818410@QFN@DS01320A-R102-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
PU12_1@B2818410@QFN@DS01320A-R102-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
PR141_1@B0831780@R@DS01320A-R102-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
PR141_1@B0831780@R@DS01320A-R102-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
PR141_1@B0831780@R@DS01320A-R102-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
PU5_1@B2816690@QFN@DS001747-R600-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
J1_2@B6214372@IC@DS006210-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_2@B6214372@IC@DS006210-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_2@B6214372@IC@DS006210-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
J1_2@B6214372@IC@DS006210-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R421_1@B089000Y@R@DS000896-R202-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R421_1@B089000Y@R@DS000896-R202-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R421_1@B089000Y@R@DS000896-R202-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U1701_1@E280A420@QFN@DS013793-Z000-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
U1701_1@E280A420@QFN@DS013793-Z000-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
SQ46_1@07003-00030800@SOT23@59ME08P0-MB0A01S-R000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
SQ46_1@07003-00030800@SOT23@59ME08P0-MB0A01S-R000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
SQ46_1@07003-00030800@SOT23@59ME08P0-MB0A01S-R000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
SWU4_1@06G114035010@QFN@59ME02W0-MB0A3BS-R000-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
SWU4_1@06G114035010@QFN@59ME02W0-MB0A3BS-R000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
SWU6_1@06G114035010@QFN@59ME02W0-MB0A3BS-R000-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
SWU4_1@06G114035010@QFN@59ME02W0-MB0A3BS-R000-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
SWU6_1@06G114035010@QFN@59ME02W0-MB0A3BS-R000-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
OQ6_1@07G005607011@QFN@59ME02W0-MB0A3BS-R000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
OQ6_1@07G005607011@QFN@59ME02W0-MB0A3BS-R000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
SWU6_1@06G114035010@QFN@59ME02W0-MB0A3BS-R000-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
SWU6_1@06G114035010@QFN@59ME02W0-MB0A3BS-R000-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
OU1_1@06116-00380300@IC@59SB0BE0-SB0B05S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
D101_1@B218A170@MLD@DS016320-Z000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D101_1@B218A170@MLD@DS016320-Z000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D101_1@B218A170@MLD@DS016320-Z000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D101_1@B218A170@MLD@DS016320-Z000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D101_1@B218A170@MLD@DS016320-Z000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D101_1@B218A170@MLD@DS016320-Z000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D101_1@B218A170@MLD@DS016320-Z000-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
PU1901_1@06018-02130400@QFN@59SB0BE0-SB0B05S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
U56_1@B280L450@QFN@DS016321-Z001-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
PU4101_1@06095-02101800@QFN@59SB0BE0-SB0B06S-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
PU4101_1@06095-02101800@QFN@59SB0BE0-SB0B06S-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
FB53_1@B4920170@C@DS016324-Z104-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
FB53_1@B4920170@C@DS016324-Z104-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D18_1@B218A170@MLD@DS015643-Z101-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D18_1@B218A170@MLD@DS015643-Z101-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D18_1@B218A170@MLD@DS015643-Z101-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D18_1@B218A170@MLD@DS015643-Z101-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D69_1@B218A170@MLD@DS015643-Z101-B,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
AU1_1@06103-00650000@IC@59SB0BE0-SB0B06S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
J1_1@B6218660@IC@DS01548M-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
OU1_1@06116-00380300@IC@59SB0BE0-SB0B06S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
PU1901_1@06018-02130400@QFN@59SB0BE0-SB0B06S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
QU39_1@06G016185020@IC@59SB0BE0-SB0B06S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
PU1901_1@06018-02130400@QFN@59SB0BE0-SB0B06S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
OU1_1@06116-00380300@IC@59SB0BE0-SB0B06S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
D43_1@B2180870@QFN@DS00A03F-Z204-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
D43_1@B2180870@QFN@DS00A03F-Z204-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
D43_1@B2180870@QFN@DS00A03F-Z204-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q3_1@J2750010@QFN@DS00865R-R301-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
Q3_1@J2750010@QFN@DS00865R-R301-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
Q3_1@J2750010@QFN@DS00865R-R301-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
Q3_1@J2750010@QFN@DS00865R-R301-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
Q3_1@J2750010@QFN@DS00865R-R301-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
Q3_1@J2750010@QFN@DS00865R-R301-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
Q3_1@J2750010@QFN@DS00865R-R301-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
U10_1@06004-00620400@QFN@59SC0S00-SC0A02S-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
U10_1@06004-00620400@QFN@59SC0S00-SC0A02S-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
PU2501_1@06095-02980100@QFN@59SB0BE0-SB0B07S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
U3U15_1@07024-01800000@IC@59SB0BE0-SB0B07S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
U3U15_1@07024-01800000@IC@59SB0BE0-SB0B07S-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
QU40_1@06096-00750000@IC@59SB0BE0-SB0B07S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
PU3701_1@06095-02101900@QFN@59SB0BE0-SB0B07S-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
PU3701_1@06095-02101900@QFN@59SB0BE0-SB0B07S-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
PU3701_1@06095-02101900@QFN@59SB0BE0-SB0B07S-R000-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
CU4_1@06011-00900000@QFN@59SB0BE0-SB0B07S-R000-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
U57_1@B280D990@IC@DS00A03G-Z205-B,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
RY3_1@B4090020@IC@DS01187Q-Z701-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
RY3_1@B4090020@IC@DS01187Q-Z701-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
RY3_1@B4090020@IC@DS01187Q-Z701-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
RY3_1@B4090020@IC@DS01187Q-Z701-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
RY3_1@B4090020@IC@DS01187Q-Z701-T,05,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
Q3_1@J2750010@QFN@DS00864R-R303-T,05,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
C452_2@B1110050@C@DS00777E-R000-B,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C420_1@B1190091@C@DS009442-R203-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R_LED1_1@07G015700750@OTHER@DS01450U-R000-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R_LED1_1@07G015700750@OTHER@DS01450U-R000-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R_LED1_1@07G015700750@OTHER@DS01450U-R000-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R_LED1_1@07G015700750@OTHER@DS01450U-R000-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R_LED1_1@07G015700750@OTHER@DS01450U-R000-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R_LED1_1@07G015700750@OTHER@DS01450U-R000-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R_LED1_1@07G015700750@OTHER@DS01450U-R000-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R_LED1_1@07G015700750@OTHER@DS01450U-R000-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R_LED1_1@07G015700750@OTHER@DS01450U-R000-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C153_1@B1190091@C@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C409_1@B1190091@C@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R654_1@B089005Y@R@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R654_1@B089005Y@R@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R654_1@B089005Y@R@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R655_1@B0882500@R@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,Yes,No,Yes,No
R725_1@B0840020@R@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R725_1@B0840020@R@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R725_1@B0840020@R@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C153_1@B1190091@C@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C890_1@B1190003@C@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C151_1@B1190091@C@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C151_1@B1190091@C@DS006593-Z201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C195_1@B1190091@C@DS012621-R101-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R429_1@B0830042@R@DS013131-R201-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C8_1@B1190670@C@DS00169A-R109-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C570_1@B1190252@C@DS006180-R000-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R676_1@B0410740@R@DS006594-Z202-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R676_1@B0410740@R@DS006594-Z202-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C411_2@1130Z000@MLD@DS013793-Z000-B,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C411_2@1130Z000@MLD@DS013793-Z000-B,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C411_1@1130Z000@MLD@DS013793-Z000-B,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C480_1@1119D011@C@DS005175-Z007-B,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R288_1@B0831600@R@DS009084-R100-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R288_1@B0831600@R@DS009084-R100-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R288_1@B0831600@R@DS009084-R100-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R288_1@B0831600@R@DS009084-R100-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C592_1@B1190252@C@DS012350-R100-B,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R340_1@B0410650@R@DS012350-R100-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R340_1@B0410650@R@DS012350-R100-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R340_1@B0410650@R@DS012350-R100-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
R340_1@B0410650@R@DS012350-R100-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C52_1@B1110160@C@DS014811-Z100-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
C52_1@B1110160@C@DS014811-Z100-T,07,Qwen3-VL-8B,Defect Detection,No,Yes,No,Yes
